id,stream,source,instrument,direction,confidence,reasoning,was_traded,rejection_reason,is_comparison,created_at
14,strategy,breakout,GBP_USD,neutral,0.0,"breakout: {'asian_high': np.float64(1.28389), 'asian_low': np.float64(1.26779), 'asian_range': np.float64(0.0161), 'buffer': 0.001}",0,,0,2026-03-19 07:31:27
15,strategy,breakout,USD_JPY,neutral,0.0,"breakout: {'asian_high': np.float64(152.56875), 'asian_low': np.float64(151.49535), 'asian_range': np.float64(1.0734), 'buffer': 0.1}",0,,0,2026-03-19 07:31:27
16,strategy,breakout,USD_CHF,neutral,0.0,"breakout: {'asian_high': np.float64(0.90094), 'asian_low': np.float64(0.892), 'asian_range': np.float64(0.00894), 'buffer': 0.001}",0,,0,2026-03-19 07:31:27
17,strategy,breakout,AUD_USD,neutral,0.0,"breakout: {'asian_high': np.float64(0.653), 'asian_low': np.float64(0.64488), 'asian_range': np.float64(0.00812), 'buffer': 0.001}",0,,0,2026-03-19 07:31:27
18,strategy,breakout,XAU_USD,neutral,0.0,"breakout: {'asian_high': np.float64(2338.65226), 'asian_low': np.float64(2318.58185), 'asian_range': np.float64(20.07041), 'buffer': 1.0}",0,,0,2026-03-19 07:31:27
19,strategy,mean_reversion,EUR_USD,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(1.10399), 'bb_lower': np.float64(1.097), 'bb_mid': np.float64(1.1005), 'rsi': np.float64(28.16), 'pct_b': np.float64(0.192)}",0,,0,2026-03-19 07:31:27
20,strategy,mean_reversion,GBP_USD,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(1.27753), 'bb_lower': np.float64(1.26595), 'bb_mid': np.float64(1.27174), 'rsi': np.float64(30.26), 'pct_b': np.float64(0.259)}",0,,0,2026-03-19 07:31:27
21,strategy,mean_reversion,USD_JPY,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(152.76222), 'bb_lower': np.float64(151.55095), 'bb_mid': np.float64(152.15659), 'rsi': np.float64(29.78), 'pct_b': np.float64(0.303)}",0,,0,2026-03-19 07:31:27
22,strategy,mean_reversion,USD_CHF,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(0.90321), 'bb_lower': np.float64(0.89243), 'bb_mid': np.float64(0.89782), 'rsi': np.float64(35.57), 'pct_b': np.float64(0.458)}",0,,0,2026-03-19 07:31:27
23,strategy,mean_reversion,AUD_USD,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(0.65443), 'bb_lower': np.float64(0.64572), 'bb_mid': np.float64(0.65008), 'rsi': np.float64(81.5), 'pct_b': np.float64(0.878)}",0,,0,2026-03-19 07:31:27
24,strategy,mean_reversion,XAU_USD,neutral,0.0,"mean_reversion: {'bb_upper': np.float64(2337.5188), 'bb_lower': np.float64(2326.53354), 'bb_mid': np.float64(2332.02617), 'rsi': np.float64(67.35), 'pct_b': np.float64(1.052)}",0,,0,2026-03-19 07:31:27
25,strategy,volatility_breakout,EUR_USD,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.00138), 'avg_atr': np.float64(0.00153), 'atr_ratio': np.float64(0.902), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 07:31:27
26,strategy,volatility_breakout,GBP_USD,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.00147), 'avg_atr': np.float64(0.00169), 'atr_ratio': np.float64(0.866), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 07:31:27
27,strategy,volatility_breakout,USD_JPY,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.20967), 'avg_atr': np.float64(0.18118), 'atr_ratio': np.float64(1.157), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 07:31:27
28,strategy,volatility_breakout,USD_CHF,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.00144), 'avg_atr': np.float64(0.0013), 'atr_ratio': np.float64(1.11), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 07:31:27
29,strategy,volatility_breakout,AUD_USD,neutral,0.0,"volatility_breakout: {'atr': np.float64(0.00105), 'avg_atr': np.float64(0.00094), 'atr_ratio': np.float64(1.12), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 07:31:27
30,strategy,volatility_breakout,XAU_USD,neutral,0.0,"volatility_breakout: {'atr': np.float64(3.12825), 'avg_atr': np.float64(3.58705), 'atr_ratio': np.float64(0.872), 'reason': 'No ATR contraction'}",0,,0,2026-03-19 07:31:27
